Time,S2_Raw,S3_Raw,S4_Raw,Chord3,Diameter
74,1116,952,1160,0,0.00
104,1148,940,1156,0,0.00
134,1116,948,1172,0,0.00
164,1148,988,1176,0,0.00
194,1136,1000,1212,0,0.00
224,1184,1080,1168,0,0.00
256,1488,1596,1244,0,0.00
287,2160,2696,1416,0,0.00
319,3040,2944,1812,0,0.00
350,3424,3120,2256,0,0.00
380,3512,3180,2492,0,0.00
410,3540,3152,2344,0,0.00
439,3452,2972,2036,0,0.00
468,2952,2356,1664,0,0.00
496,1800,1516,1320,0,0.00
524,1216,1020,1200,28,30.56
555,1132,956,1188,0,0.00
584,1112,944,1148,0,0.00
614,1104,948,1136,0,0.00
644,1148,1036,1176,0,0.00
675,1504,1460,1224,0,0.00
707,2296,2460,1344,0,0.00
739,3320,2960,1692,0,0.00
770,3508,3156,2188,0,0.00
800,3608,3224,2508,0,0.00
830,3676,3300,2584,0,0.00
861,3540,3300,2364,0,0.00
890,3536,3004,1936,0,0.00
918,3124,2160,1564,0,0.00
947,1932,1388,1320,0,0.00
975,1220,1012,1176,31,33.09
1005,1156,972,1184,0,0.00
1035,1116,952,1156,0,0.00
1066,1160,1004,1164,0,0.00
1096,1484,1444,1244,0,0.00
1128,2340,2436,1384,0,0.00
1160,3332,2940,1732,0,0.00
1191,3536,3252,2536,0,0.00
1221,3540,3284,3040,0,0.00
1252,3580,3348,3164,0,0.00
1282,3484,3280,3028,0,0.00
1311,3480,3180,2636,0,0.00
1340,3428,2976,2068,0,0.00
1370,2968,2128,1600,0,0.00
1396,1744,1296,1248,31,34.40
1425,1156,972,1156,0,0.00
1455,1076,924,1108,0,0.00
1485,1156,1008,1152,0,0.00
1516,1456,1412,1164,0,0.00
1548,2456,2516,1316,0,0.00
1581,3312,3044,1804,0,0.00
1611,3480,3200,2508,0,0.00
1642,3740,3300,3216,0,0.00
1673,3760,3312,3452,0,0.00
1703,3692,3284,3408,0,0.00
1733,3752,3264,3080,0,0.00
1762,3648,3204,2608,0,0.00
1792,3500,2884,2016,0,0.00
1819,2916,2008,1592,0,0.00
1847,1816,1320,1292,0,0.00
1877,1240,1004,1176,37,38.41
1906,1224,1036,1184,0,0.00
1937,1496,1384,1236,0,0.00
1969,2424,2392,1312,0,0.00
2001,3508,3092,1764,0,0.00
2032,3680,3328,2616,0,0.00
2064,3752,3428,3392,0,0.00
2094,3792,3412,3664,0,0.00
2124,3756,3520,3668,0,0.00
2153,3800,3444,3608,0,0.00
2184,3784,3432,3564,0,0.00
2213,3752,3308,2960,0,0.00
2242,3688,3096,2220,0,0.00
2269,3104,2160,1708,0,0.00
2297,1904,1340,1312,0,0.00
2326,1268,1048,1176,40,41.65
2357,1456,1320,1204,0,0.00
2390,2288,2348,1364,0,0.00
2421,3400,2992,1848,0,0.00
2452,3716,3260,2944,0,0.00
2484,3764,3412,3732,0,0.00
2516,3784,3604,3864,0,0.00
2545,3944,3556,3808,0,0.00
2575,3920,3544,3808,0,0.00
2606,3836,3536,3788,0,0.00
2635,3816,3420,3588,0,0.00
2664,3760,3268,3172,0,0.00
2694,3568,3004,2292,0,0.00
2721,3140,2092,1676,0,0.00
2748,1984,1368,1312,0,0.00
2777,1224,1004,1176,43,44.50
2807,1104,936,1164,0,0.00
2837,1112,928,1124,0,0.00
2867,1096,936,1116,0,0.00
2897,1084,936,1124,0,0.00
2927,1120,956,1128,0,0.00
2957,1100,952,1164,0,0.00
2988,1080,920,1132,0,0.00
3017,1108,948,1128,0,0.00
3047,1120,948,1164,0,0.00

