Time,S2_Raw,S3_Raw,S4_Raw,Chord3,Diameter
74,1124,972,1188,0,0.00
104,1124,984,1192,0,0.00
134,1140,1028,1164,0,0.00
165,1240,1236,1220,0,0.00
195,1540,1932,1308,0,0.00
227,2160,2708,1568,0,0.00
260,2916,3048,2236,0,0.00
290,3228,3136,2828,0,0.00
320,3468,3272,3068,0,0.00
351,3452,3200,2864,0,0.00
379,3224,3032,2448,0,0.00
408,2432,2444,1964,0,0.00
435,1572,1548,1496,0,0.00
464,1184,1044,1232,27,30.40
494,1116,992,1192,0,0.00
524,1128,956,1160,0,0.00
555,1140,984,1184,0,0.00
584,1160,1064,1188,0,0.00
615,1392,1532,1240,0,0.00
647,2032,2584,1492,0,0.00
679,3064,3036,2316,0,0.00
710,3452,3112,2984,0,0.00
741,3580,3248,3252,0,0.00
772,3708,3212,3408,0,0.00
800,3532,3188,3072,0,0.00
829,3412,3060,2400,0,0.00
858,2572,2252,1796,0,0.00
886,1488,1396,1364,0,0.00
915,1156,980,1188,32,34.19
945,1124,952,1148,0,0.00
975,1112,968,1148,0,0.00
1005,1184,1064,1184,0,0.00
1036,1508,1568,1240,0,0.00
1069,2388,2616,1436,0,0.00
1100,3368,3088,2048,0,0.00
1131,3564,3256,2892,0,0.00
1162,3532,3336,3376,0,0.00
1192,3568,3324,3476,0,0.00
1222,3560,3228,3324,0,0.00
1251,3536,3224,2892,0,0.00
1282,3416,3008,2256,0,0.00
1308,2828,2180,1700,0,0.00
1336,1652,1368,1320,0,0.00
1366,1148,980,1168,34,36.03
1395,1128,964,1172,0,0.00
1425,1140,1008,1156,0,0.00
1456,1428,1440,1216,0,0.00
1488,2388,2516,1396,0,0.00
1520,3332,3008,2068,0,0.00
1551,3488,3228,2908,0,0.00
1583,3776,3388,3628,0,0.00
1613,3812,3412,3672,0,0.00
1642,3584,3320,3540,0,0.00
1673,3700,3328,3408,0,0.00
1702,3628,3148,2968,0,0.00
1731,3436,2868,2160,0,0.00
1759,2788,1984,1608,0,0.00
1787,1648,1244,1248,35,38.13
1816,1180,996,1196,0,0.00
1846,1208,1044,1184,0,0.00
1878,1572,1504,1240,0,0.00
1909,2660,2672,1408,0,0.00
1941,3496,3140,1880,0,0.00
1972,3616,3280,2652,0,0.00
2004,3840,3404,3332,0,0.00
2034,3784,3428,3640,0,0.00
2063,3780,3464,3596,0,0.00
2094,3844,3408,3380,0,0.00
2123,3800,3444,3240,0,0.00
2152,3936,3344,2576,0,0.00
2182,3664,2840,1980,0,0.00
2209,2924,2024,1540,0,0.00
2237,1828,1240,1256,37,40.02
2266,1300,1044,1200,0,0.00
2297,1576,1348,1224,0,0.00
2329,2608,2340,1312,0,0.00
2361,3512,3008,1700,0,0.00
2393,3668,3340,2596,0,0.00
2424,3808,3680,3404,0,0.00
2454,3864,3628,3776,0,0.00
2485,3884,3616,3756,0,0.00
2516,3844,3556,3708,0,0.00
2544,3860,3500,3544,0,0.00
2574,3804,3340,3096,0,0.00
2604,3736,3156,2448,0,0.00
2632,3532,2688,1804,0,0.00
2660,2956,1756,1432,0,0.00
2689,1776,1148,1164,39,43.00
2717,1172,956,1148,0,0.00
2747,1096,920,1104,0,0.00
2777,1080,928,1104,0,0.00
2807,1084,936,1112,0,0.00
2837,1096,928,1160,0,0.00
2867,1088,956,1152,0,0.00
2897,1116,944,1156,0,0.00
2927,1116,952,1140,0,0.00
2957,1092,960,1160,0,0.00
2988,1108,940,1160,0,0.00
3017,1108,952,1140,0,0.00
3047,1124,976,1168,0,0.00

