Time,S2_Raw,S3_Raw,S4_Raw,Chord3,Diameter
74,1116,952,1160,0,0.00
104,1124,952,1180,0,0.00
134,1132,968,1172,0,0.00
164,1140,1028,1192,0,0.00
195,1216,1296,1216,0,0.00
226,1452,2104,1436,0,0.00
259,1920,2868,2064,0,0.00
289,2516,3028,3036,0,0.00
320,2920,3184,3464,0,0.00
350,3008,3180,3548,0,0.00
380,2840,3044,3436,0,0.00
409,2404,2884,2792,0,0.00
437,1672,2204,2064,0,0.00
465,1248,1328,1480,0,0.00
494,1148,1004,1212,28,30.56
524,1128,940,1172,0,0.00
555,1116,952,1176,0,0.00
584,1120,1004,1180,0,0.00
615,1140,1184,1224,0,0.00
646,1340,1928,1460,0,0.00
678,1812,2848,2396,0,0.00
710,2528,3020,3460,0,0.00
741,3112,3160,3720,0,0.00
772,3444,3240,3828,0,0.00
801,3512,3216,3788,0,0.00
831,3320,3212,3564,0,0.00
860,2648,3000,2996,0,0.00
888,1688,2172,2164,0,0.00
916,1248,1268,1536,27,31.42
945,1140,1000,1208,0,0.00
975,1120,968,1164,0,0.00
1005,1116,980,1180,0,0.00
1035,1168,1176,1208,0,0.00
1068,1320,2008,1588,0,0.00
1099,1852,2872,2748,0,0.00
1131,2552,3156,3640,0,0.00
1162,3084,3256,3812,0,0.00
1192,3324,3252,3860,0,0.00
1222,3472,3180,3796,0,0.00
1252,3432,3164,3676,0,0.00
1282,3272,3128,3580,0,0.00
1310,2448,2920,3072,0,0.00
1338,1536,1992,2188,0,0.00
1366,1144,1144,1448,31,35.08
1395,1092,936,1156,0,0.00
1425,1064,948,1112,0,0.00
1455,1128,1160,1168,0,0.00
1487,1300,1992,1624,0,0.00
1519,1784,2812,2748,0,0.00
1551,2624,3112,3584,0,0.00
1583,3320,3252,3784,0,0.00
1612,3572,3396,3900,0,0.00
1643,3640,3320,3908,0,0.00
1674,3740,3448,3776,0,0.00
1704,3732,3356,3876,0,0.00
1733,3412,3264,3668,0,0.00
1761,2468,2848,3256,0,0.00
1789,1580,1956,2316,0,0.00
1817,1216,1192,1556,33,36.25
1846,1176,1032,1216,0,0.00
1878,1160,1184,1260,0,0.00
1908,1332,1880,1604,0,0.00
1940,1724,2912,2960,0,0.00
1972,2448,3216,3768,0,0.00
2004,3264,3328,3996,0,0.00
2033,3616,3408,4036,0,0.00
2064,3836,3452,3940,0,0.00
2095,3932,3472,3992,0,0.00
2124,3972,3424,3848,0,0.00
2154,3892,3476,3840,0,0.00
2184,3536,3352,3724,0,0.00
2211,2452,2860,3392,0,0.00
2239,1528,1960,2432,0,0.00
2267,1224,1192,1600,37,40.69
2296,1180,1160,1256,0,0.00
2328,1328,1788,1592,0,0.00
2360,1684,2776,2940,0,0.00
2393,2436,3244,3712,0,0.00
2423,3228,3424,3884,0,0.00
2454,3656,3488,4012,0,0.00
2485,3920,3564,4132,0,0.00
2516,4104,3576,4072,0,0.00
2545,4160,3520,4040,0,0.00
2575,4128,3460,4016,0,0.00
2606,3888,3332,3912,0,0.00
2634,3536,3268,3760,0,0.00
2662,2472,2948,3432,0,0.00
2691,1524,1964,2476,0,0.00
2718,1208,1156,1664,40,43.53
2747,1112,956,1188,0,0.00
2777,1108,964,1148,0,0.00
2807,1120,952,1136,0,0.00
2837,1108,960,1152,0,0.00
2867,1080,944,1152,0,0.00
2897,1088,960,1160,0,0.00
2927,1092,944,1124,0,0.00
2957,1104,932,1140,0,0.00
2988,1108,956,1160,0,0.00
3017,1096,936,1132,0,0.00
3047,1112,936,1144,0,0.00

