Time,S2_Raw,S3_Raw,S4_Raw,Chord3,Diameter
74,1116,952,1176,0,0.00
104,1120,960,1192,0,0.00
134,1132,960,1172,0,0.00
164,1148,1004,1180,0,0.00
194,1180,1152,1212,0,0.00
225,1396,1752,1252,0,0.00
258,1928,2676,1596,0,0.00
289,2684,3008,2328,0,0.00
320,3120,3160,3056,0,0.00
351,3292,3224,3308,0,0.00
380,3308,3192,3060,0,0.00
409,3120,3008,2644,0,0.00
438,2396,2436,1972,0,0.00
465,1508,1576,1512,0,0.00
494,1164,1072,1248,28,30.56
524,1128,960,1200,0,0.00
555,1144,980,1188,0,0.00
584,1132,964,1168,0,0.00
614,1140,1048,1164,0,0.00
645,1324,1448,1240,0,0.00
677,1880,2516,1572,0,0.00
709,2824,2988,2432,0,0.00
740,3404,3180,3280,0,0.00
772,3584,3316,3464,0,0.00
801,3636,3272,3572,0,0.00
831,3580,3200,3472,0,0.00
861,3316,3156,2776,0,0.00
889,2540,2520,2076,0,0.00
916,1588,1584,1548,0,0.00
945,1200,1064,1216,31,33.27
975,1116,964,1188,0,0.00
1005,1136,984,1184,0,0.00
1035,1164,1072,1200,0,0.00
1067,1352,1560,1276,0,0.00
1098,1928,2612,1660,0,0.00
1130,2852,3036,2776,0,0.00
1162,3372,3248,3664,0,0.00
1192,3488,3284,3656,0,0.00
1222,3596,3208,3708,0,0.00
1252,3548,3212,3604,0,0.00
1283,3420,3180,3400,0,0.00
1311,3400,3132,2756,0,0.00
1339,2556,2392,2016,0,0.00
1367,1440,1404,1404,0,0.00
1395,1108,956,1152,35,36.96
1425,1092,928,1124,0,0.00
1455,1096,1016,1164,0,0.00
1486,1344,1508,1256,0,0.00
1518,1984,2596,1544,0,0.00
1551,3104,2992,2580,0,0.00
1583,3536,3236,3420,0,0.00
1613,3684,3428,3692,0,0.00
1643,3732,3404,3836,0,0.00
1674,3684,3388,3732,0,0.00
1703,3724,3328,3704,0,0.00
1733,3700,3216,3628,0,0.00
1762,3580,3012,2824,0,0.00
1791,2696,2392,2088,0,0.00
1817,1612,1464,1512,0,0.00
1846,1200,1024,1256,36,37.89
1877,1160,1056,1180,0,0.00
1907,1364,1476,1256,0,0.00
1939,1916,2636,1676,0,0.00
1972,3040,3164,2876,0,0.00
2004,3496,3352,3760,0,0.00
2034,3592,3368,3896,0,0.00
2064,3772,3488,3856,0,0.00
2094,3748,3512,3776,0,0.00
2124,3784,3396,3796,0,0.00
2154,3800,3376,3876,0,0.00
2184,3792,3432,3624,0,0.00
2212,3696,3200,3084,0,0.00
2240,2824,2392,2192,0,0.00
2267,1648,1460,1544,0,0.00
2296,1228,1104,1240,40,41.65
2327,1376,1408,1240,0,0.00
2358,1924,2456,1500,0,0.00
2393,3072,3136,2596,0,0.00
2423,3596,3344,3680,0,0.00
2454,3796,3420,3820,0,0.00
2485,3816,3516,4032,0,0.00
2516,3956,3588,3992,0,0.00
2545,3904,3480,3956,0,0.00
2575,4012,3440,3884,0,0.00
2606,4008,3460,3804,0,0.00
2635,3904,3376,3684,0,0.00
2664,3692,3236,3264,0,0.00
2692,3008,2460,2280,0,0.00
2719,1776,1572,1576,0,0.00
2747,1228,1036,1208,42,43.55
2777,1124,960,1132,0,0.00
2807,1108,944,1140,0,0.00
2837,1100,936,1124,0,0.00
2867,1088,948,1156,0,0.00
2897,1088,920,1124,0,0.00
2927,1108,928,1148,0,0.00
2957,1112,932,1144,0,0.00
2988,1100,928,1140,0,0.00
3017,1108,948,1148,0,0.00
3047,1088,920,1132,0,0.00
